Title;Licensee;Released;Release Year;Release Month
1942;Capcom;November 1986;1986;11
1943;Capcom;October 1988;1988;10
10 Yard Fight;Nintendo;October 1985;1985;10
2-in-1 Super Mario Bros/Duck Hunt;Nintendo;November 1988;1988;11
2-in-1 Super Spike V'Ball/World Cup Soccer;Nintendo;December 1990;1990;12
3-D Worldrunner;Acclaim;September 1987;1987;09
3-in-1 Super Mario Bros/Duck Hunt/World Class Track Meet;Nintendo;December 1990;1990;12
720°;Mindscape;November 1989;1989;11
8 Eyes;Taxan;January 1990;1990;01
A Nightmare on Elm Street;LJN;October 1990;1990;10
Abadox;Milton Bradley;March 1990;1990;03
Addams Family, The;Ocean;January 1992;1992;01
Addams Family: Pugsley's Scavenger Hunt, The;Ocean;August 1993;1993;08
Advanced Dungeons & Dragons: Dragonstrike;FCI;July 1992;1992;07
Advanced Dungeons & Dragons: Heroes of the Lance;FCI;January 1991;1991;01
Advanced Dungeons & Dragons: Hillsfar;FCI;February 1993;1993;02
Advanced Dungeons & Dragons: Pool of Radiance;FCI;April 1992;1992;04
Adventure Island;Hudson Soft;September 1988;1988;09
Adventure Island II;Hudson Soft;February 1991;1991;02
Adventure Island III;Hudson Soft;September 1992;1992;09
Adventures in the Magic Kingdom;Capcom;June 1990;1990;06
Adventures of Bayou Billy, The;Konami;June 1989;1989;06
Adventures of Dino Riki, The;Hudson Soft;September 1989;1989;09
Adventures of Gilligan's Island, The;Bandai;July 1990;1990;07
Adventures of Lolo II, The;Hal America;March 1990;1990;03
Adventures of Lolo III, The;Hal America;September 1991;1991;09
Adventures of Lolo, The;Hal America;April 1989;1989;04
Adventures of Rad Gravity, The;Activision;December 1990;1990;12
Adventures of Rocky & Bullwinkle and Friends, The;THQ;December 1992;1992;12
Adventures of Tom Sawyer, The;Seta;August 1989;1989;08
Air Fortress;Hal America;September 1989;1989;09
Airwolf;Acclaim;June 1989;1989;06
Al Unser Jr.'s Turbo Racing;Data East;March 1990;1990;03
Alfred Chicken;Mindscape;February 1994;1994;02
Alien3;LJN;March 1993;1993;03
All Pro Basketball;Vic Tokai;December 1989;1989;12
Alpha Mission;SNK;October 1987;1987;10
Amagon;American Sammy;April 1989;1989;04
American Gladiators;Gametek;October 1991;1991;10
Anticipation;Nintendo;November 1988;1988;11
Arch Rivals: A Basket Brawl!;Acclaim;November 1990;1990;11
Archon;Activision;December 1989;1989;12
Arkanoid;Taito Software;August 1987;1987;08
Arkista's Ring;American Sammy;June 1990;1990;06
Astyanax;Jaleco;March 1990;1990;03
Athena;SNK;August 1987;1987;08
Athletic World;Bandai;July 1987;1987;07
Attack of the Killer Tomatoes;THQ;January 1992;1992;01
Back to the Future;LJN;September 1989;1989;09
Back to the Future II & III;LJN;September 1990;1990;09
Bad Dudes;Data East;July 1990;1990;07
Bad News Baseball;Tecmo;June 1990;1990;06
Bad Street Brawler;Mattel Inc.;September 1989;1989;09
Balloon Fight;Nintendo;June 1986;1986;06
Bandai Golf: Challenge Pebble Beach;Bandai;February 1989;1989;02
Bandit Kings of Ancient China;Koei;December 1990;1990;12
Barbie;Hi-Tech;December 1991;1991;12
Bard's Tale;FCI;November 1991;1991;11
Barker Bill's Trick Shooting;Nintendo;August 1990;1990;08
Base Wars - Cyber Stadium Series;Ultra Soft;June 1991;1991;06
Baseball;Nintendo;October 1985;1985;10
Baseball Simulator 1.000;Culture Brain;March 1990;1990;03
Baseball Stars;SNK;July 1989;1989;07
Baseball Stars II;Romstar;July 1992;1992;07
Bases Loaded;Jaleco;July 1988;1988;07
Bases Loaded II: Second Season;Jaleco;January 1990;1990;01
Bases Loaded III;Jaleco;September 1991;1991;09
Bases Loaded IV;Jaleco;April 1993;1993;04
Batman;Sunsoft;February 1990;1990;02
Batman Returns;Konami;January 1993;1993;01
